"	[CLS],),),s,,	0.009276315569877625,0.0018785130232572556,0.001857371418736875,0.001767122303135693,0.0016878899186849594	0.009276315569877625	",[SEP],",",.	-0.00543360598385334,-0.0052646249532699585,-0.005008453503251076,-0.004550693556666374,-0.004250033758580685	-0.00543360598385334
comment	[SEP],[CLS],,,",carried	0.005740433931350708,0.004043363034725189,0.001410350319929421,0.0012571091065183282,0.0012245305115357041	0.005740433931350708	.,',',reasoning,)	-0.005498891696333885,-0.005139727145433426,-0.004999086260795593,-0.004519169218838215,-0.0034149503335356712	-0.005498891696333885
[SEP]	[CLS],],t,t,}	0.00931037962436676,8.817983325570822e-05,-4.690577043220401e-05,-8.968077600002289e-05,-9.10777598619461e-05	0.00931037962436676	[SEP],?,.,ll,{	-0.005549490451812744,-0.004990368150174618,-0.004780825227499008,-0.002258559688925743,-0.002212747000157833	-0.005549490451812744
the	[SEP],you,the,reward,]	0.0066051483154296875,0.002819217275828123,0.0025923121720552444,0.0017377350013703108,0.001724704634398222	0.0066051483154296875	don,response,?,add,provide	-0.005587443709373474,-0.005369263701140881,-0.004877500236034393,-0.003964797593653202,-0.003560315351933241	-0.005587443709373474
:	,,",=,),)	0.004361512139439583,0.003667794167995453,0.0034329493064433336,0.0026275785639882088,0.0018522102618589997	0.004361512139439583	{,response,:,},id	-0.00672362744808197,-0.006667270325124264,-0.006204928271472454,-0.0061316173523664474,-0.0054125431925058365	-0.00672362744808197
raw	raw,left,name,_,75	0.008464381098747253,0.0029118601232767105,0.002246549353003502,0.002204734832048416,0.001732048112899065	0.008464381098747253	raw,.,ship,",action	-0.006969427689909935,-0.006351428106427193,-0.005749252624809742,-0.0055741239339113235,-0.005158582702279091	-0.006969427689909935
don	don,and,comment,[CLS],[	0.002828221768140793,0.002553030848503113,0.0024783797562122345,0.0020245909690856934,0.0018125815549865365	0.002828221768140793	t,add,),,,don	-0.007174873724579811,-0.006467221304774284,-0.0043395101092755795,-0.004140371456742287,-0.003986448049545288	-0.007174873724579811
any	[CLS],any,,,action,your	0.0032173842191696167,0.002524998039007187,0.001965201459825039,0.0015784865245223045,0.0010955356992781162	0.0032173842191696167	[SEP],,,t,',)	-0.00745275616645813,-0.007075192406773567,-0.004716232419013977,-0.0045151617377996445,-0.004445868078619242	-0.00745275616645813
the	[CLS],[SEP],action,reward,comment	0.011571504175662994,0.00486302375793457,0.0032995808869600296,0.0012136907316744328,0.0010792063549160957	0.011571504175662994	.,action,the,,,just	-0.007460691034793854,-0.00574108213186264,-0.00548618845641613,-0.005477637983858585,-0.0049528758972883224	-0.007460691034793854
action	[CLS],actions,any,),do	0.01052827388048172,0.002217564731836319,0.0011182385496795177,0.0007827457739040256,0.0005262565100565553	0.01052827388048172	provide,action,parcel,tile,next	-0.007977709174156189,-0.004678454250097275,-0.004016987979412079,-0.0038396238815039396,-0.003638071473687887	-0.007977709174156189
response	ship,parcel,:,you,a	0.004345971159636974,0.004131663590669632,0.004028923809528351,0.004019206389784813,0.004017378203570843	0.004345971159636974	response,{,raw,},##sing	-0.008096504956483841,-0.0069887153804302216,-0.0061762528494000435,-0.006150899454951286,-0.005702545866370201	-0.008096504956483841
